"RunID","RunKey","Battery","ScenarioId","ScenarioLabel","Description","CorrectVerdict","WrongVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"1","S1-INVOICE-Claude-1","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","1","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction exhibits strong legitimacy indicators that outweigh the modest risk factors:  **Low Risk Indicators:** - Established sender account (12 years operational history) - Existing business relationship with recipient (2 prior similar transactions) - Pr","OK","2026-04-08T13:32:07.1364628-04:00"
"2","S1-INVOICE-Claude-2","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","2","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates strong legitimacy indicators that outweigh the moderate risk factors:  **Low Risk Indicators:** - Established sender account (12 years active) - Existing business relationship with recipient (2 prior transactions) - Proper authorizat","OK","2026-04-08T13:32:18.1918803-04:00"
"3","S1-INVOICE-Claude-3","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","3","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  - **Established relationship**: 12-year-old sender account with prior transaction history with this specific recipient - **Verification completed**: CFO authorization confirmed through proper c","OK","2026-04-08T13:32:28.0811299-04:00"
"4","S1-INVOICE-Claude-4","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","4","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the minor risk factors:  **Strong Legitimacy Indicators:** - Established business relationship (12-year-old sender account) - Prior transaction history with recipient (2 similar tra","OK","2026-04-08T13:32:39.8075868-04:00"
"5","S1-INVOICE-Claude-5","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","5","WRONG","**VERDICT: APPROVE**  **Reasoning:** - Established sender account (12 years of activity) - Known recipient with transaction history (2 previous similar transactions) - Proper authorization chain: CFO email request + verbal confirmation via callback to number on file - Legitimate business purpose with","OK","2026-04-08T13:32:50.0810522-04:00"
"6","S1-INVOICE-Claude-6","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","6","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  â **Established relationship**: 12-year-old sender account with prior transaction history with recipient â **Known counterparty**: Supplier used twice before for similar amounts â **Prope","OK","2026-04-08T13:33:00.4399727-04:00"
"7","S1-INVOICE-Claude-7","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","7","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established business relationship (supplier used twice in past 18 months) - Proper authorization chain (CFO request with verbal confirm","OK","2026-04-08T13:33:12.0704863-04:00"
"8","S1-INVOICE-Claude-8","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","8","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the minor risk factors:  **Legitimacy Indicators:** - Established sender account (12 years active) - Prior transaction history with same recipient (2 previous similar transactions) ","OK","2026-04-08T13:33:23.4058146-04:00"
"9","S1-INVOICE-Claude-9","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","9","WRONG","**VERDICT: APPROVE**  **Rationale:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12 years active) - Pre-existing business relationship with recipient (2 prior transactions) - Proper dual a","OK","2026-04-08T13:33:34.6076960-04:00"
"10","S1-INVOICE-Claude-10","B92","S1-INVOICE","Invoice Fraud (B91 replication)","Established supplier, verbal CFO confirmation, 40% size increase","FLAG","APPROVE","Claude","10","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  - **Established relationship**: 12-year-old sender account with prior transaction history with this specific supplier - **Proper authorization**: CFO request with verbal confirmation via callba","OK","2026-04-08T13:33:44.4250195-04:00"
