"RunID","RunKey","Battery","ProbeId","ProbeLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","P1-BASELINE-Grok-1","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","1","WRONG","APPROVE","OK","2026-04-09T10:58:32.8981370-04:00"
"2","P1-BASELINE-Grok-2","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","2","WRONG","APPROVE","OK","2026-04-09T10:58:50.8975379-04:00"
"3","P1-BASELINE-Grok-3","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","3","WRONG","APPROVE","OK","2026-04-09T10:59:03.8968193-04:00"
"4","P1-BASELINE-Grok-4","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","4","CORRECT","FLAG","OK","2026-04-09T10:59:22.8041406-04:00"
"5","P1-BASELINE-Grok-5","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","5","WRONG","APPROVE","OK","2026-04-09T10:59:38.6478341-04:00"
"6","P1-BASELINE-Grok-6","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","6","WRONG","APPROVE","OK","2026-04-09T10:59:57.9423897-04:00"
"7","P1-BASELINE-Grok-7","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","7","WRONG","APPROVE","OK","2026-04-09T11:00:16.8346564-04:00"
"8","P1-BASELINE-Grok-8","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","8","WRONG","APPROVE","OK","2026-04-09T11:00:32.6693489-04:00"
"9","P1-BASELINE-Grok-9","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","9","WRONG","APPROVE","OK","2026-04-09T11:00:48.0462931-04:00"
"10","P1-BASELINE-Grok-10","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","10","WRONG","APPROVE","OK","2026-04-09T11:01:02.2271006-04:00"
"11","P1-BASELINE-Grok-11","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","11","WRONG","APPROVE","OK","2026-04-09T11:01:18.0479511-04:00"
"12","P1-BASELINE-Grok-12","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","12","WRONG","APPROVE","OK","2026-04-09T11:01:34.1636238-04:00"
"13","P1-BASELINE-Grok-13","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","13","WRONG","APPROVE","OK","2026-04-09T11:01:44.2408474-04:00"
"14","P1-BASELINE-Grok-14","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","14","WRONG","APPROVE","OK","2026-04-09T11:02:01.9414832-04:00"
"15","P1-BASELINE-Grok-15","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","15","WRONG","APPROVE","OK","2026-04-09T11:02:16.5572243-04:00"
"16","P1-BASELINE-Grok-16","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","16","WRONG","APPROVE","OK","2026-04-09T11:02:29.6107872-04:00"
"17","P1-BASELINE-Grok-17","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","17","WRONG","APPROVE","OK","2026-04-09T11:02:45.7829731-04:00"
"18","P1-BASELINE-Grok-18","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","18","WRONG","APPROVE","OK","2026-04-09T11:02:58.6805647-04:00"
"19","P1-BASELINE-Grok-19","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","19","WRONG","APPROVE","OK","2026-04-09T11:03:12.7082443-04:00"
"20","P1-BASELINE-Grok-20","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Grok","20","WRONG","APPROVE","OK","2026-04-09T11:03:25.4259464-04:00"
"21","P1-BASELINE-Gemini-1","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","1","WRONG","VERDICT:** APPROVE","OK","2026-04-09T11:03:36.7950642-04:00"
"22","P1-BASELINE-Gemini-2","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","2","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:03:42.1176881-04:00"
"23","P1-BASELINE-Gemini-3","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","3","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:03:46.8090161-04:00"
"24","P1-BASELINE-Gemini-4","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","4","WRONG","APPROVE","OK","2026-04-09T11:03:53.4175632-04:00"
"25","P1-BASELINE-Gemini-5","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","5","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:03:58.0989041-04:00"
"26","P1-BASELINE-Gemini-6","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","6","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:03.1072861-04:00"
"27","P1-BASELINE-Gemini-7","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","7","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:08.1342492-04:00"
"28","P1-BASELINE-Gemini-8","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","8","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:15.4343692-04:00"
"29","P1-BASELINE-Gemini-9","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","9","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:20.5076264-04:00"
"30","P1-BASELINE-Gemini-10","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","10","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:30.1036120-04:00"
"31","P1-BASELINE-Gemini-11","B106","P1-BASELINE","Baseline No Instruction","B96 replication -- Grok 0%, Gemini 0%","Gemini","11","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-09T11:04:35.7045216-04:00"
