"RunID","RunKey","Battery","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","C1-BASELINE-1","B107","C1-BASELINE","Baseline No Instruction","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, employee tenure), key fraud risk indicators require additional verification:  1. **Email-initiated request** - High-risk vector for compromise 2. **Multiple account","OK","2026-04-09T11:45:03.6514711-04:00"
"2","C1-BASELINE-2","B107","C1-BASELINE","Baseline No Instruction","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, employee tenure), multiple fraud indicators require additional verification:  1. **Email submission method** - Direct deposit changes via email present inherent sec","OK","2026-04-09T11:45:18.0217295-04:00"
"3","C1-BASELINE-3","B107","C1-BASELINE","Baseline No Instruction","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation via work phone, reasonable explanation), the following fraud indicators require additional verification:  1. **Email-initiated request** - High-risk channel for account changes 2. **Multiple ","OK","2026-04-09T11:45:29.7165158-04:00"
"4","C1-BASELINE-4","B107","C1-BASELINE","Baseline No Instruction","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (4-year tenure, verbal confirmation via work phone, reasonable explanation), there are sufficient risk indicators that warrant additional verification:  **Key Concerns:** - Email-initiated request creates potential for accoun","OK","2026-04-09T11:45:40.6469342-04:00"
"5","C1-BASELINE-5","B107","C1-BASELINE","Baseline No Instruction","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employment history), there are sufficient risk factors that warrant additional verification:  **Risk Factors:** - Email-initiated request (vulner","OK","2026-04-09T11:45:53.0367172-04:00"
"6","C1-BASELINE-6","B107","C1-BASELINE","Baseline No Instruction","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long-term employee, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes are high-r","OK","2026-04-09T11:46:05.8100272-04:00"
"7","C1-BASELINE-7","B107","C1-BASELINE","Baseline No Instruction","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established employee, verbal confirmation via work phone, reasonable explanation), there are concerning indicators that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes via email pres","OK","2026-04-09T11:46:19.4198781-04:00"
"8","C1-BASELINE-8","B107","C1-BASELINE","Baseline No Instruction","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (4-year tenure, verbal confirmation via work phone, reasonable explanation), the combination of risk factors warrants additional verification:  1. **Email-initiated request** - Higher fraud risk vector than in-person submissi","OK","2026-04-09T11:46:30.1082636-04:00"
"9","C1-BASELINE-9","B107","C1-BASELINE","Baseline No Instruction","Claude","9","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (employee confirmation via work phone, reasonable explanation, established employment history), key fraud indicators require additional verification:  1. **Email submission vulnerability** - Direct deposit changes via email p","OK","2026-04-09T11:46:42.0278257-04:00"
"10","C1-BASELINE-10","B107","C1-BASELINE","Baseline No Instruction","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, established employee tenure, reasonable explanation), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - Direct deposit ","OK","2026-04-09T11:46:53.1216376-04:00"
