"RunID","RunKey","Battery","CondId","CondLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-1","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","1","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  - **Established relationship**: 12-year-old sender account with prior transaction history with this specific recipient - **Proper authorization**: CFO authorization confirmed through dual chann","OK","2026-04-08T09:40:59.7751228-04:00"
"2","BASE-2","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","2","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12+ years) - Known supplier relationship with transaction history - Proper dual authorization (email + verb","OK","2026-04-08T09:41:11.6156532-04:00"
"3","BASE-3","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","3","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12 years active) - Pre-existing business relationship with recipient (2 prior transactions) - Proper dual a","OK","2026-04-08T09:41:22.8997605-04:00"
"4","BASE-4","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","4","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  â **Established relationship**: 12-year-old sender account with documented history â **Known counterparty**: Supplier used twice before for similar amounts â **Proper authorization**: CFO","OK","2026-04-08T09:41:33.8872223-04:00"
"5","BASE-5","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","5","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the moderate risk factors:  **Strong Legitimacy Indicators:** - Established business relationship (supplier used twice in past 18 months) - Proper authorization chain (CFO request +","OK","2026-04-08T09:41:44.8590681-04:00"
"6","BASE-6","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","6","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12 years active) - Existing business relationship with recipient (2 prior similar transactions) - Proper authorizati","OK","2026-04-08T09:41:56.1638829-04:00"
"7","BASE-7","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","7","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12 years active) - Known recipient with transaction history (2 previous similar transfers) - Dual authorization: CFO","OK","2026-04-08T09:42:09.4426719-04:00"
"8","BASE-8","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","8","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12 years active) - Pre-existing business relationship with recipient (2 prior transactions) - Proper dual a","OK","2026-04-08T09:42:22.0402492-04:00"
"9","BASE-9","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","9","MIXED","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators:  â **Established relationship**: 12-year-old sender account with documented transaction history with this recipient â **Proper authorization**: CFO request with verbal confirmation via callb","OK","2026-04-08T09:42:32.0763840-04:00"
"10","BASE-10","B91","BASE","Original Transaction (B90 replication)","Established supplier, 40% size increase, verbal CFO confirmation","Claude","10","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This transaction demonstrates multiple strong legitimacy indicators that outweigh the risk factors:  **Positive Indicators:** - Established sender account (12+ years active) - Known supplier relationship with transaction history - Dual verification: email request","OK","2026-04-08T09:42:42.7718847-04:00"
