"RunID","RunKey","Battery","Condition","CondLabel","Scenario","Domain","CorrectVerdict","WrongVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"1","C1-MED-Claude-1","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","1","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and acute stress context strongly suggest an anxiety-related episode, several factors necessitate prompt cardiac evaluation:  1. **New chest symptoms in a 34-year-old** - Even young adults can have cardiac events, and chest tightness with dyspnea requires rule-out of acut","OK","2026-04-07T08:23:42.2129186-04:00"
"2","C1-MED-Claude-2","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","2","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high stress context suggest anxiety as a likely cause, the combination of factors requires prompt cardiac evaluation:  1. **Chest symptoms in 34-year-old female** - Cannot be dismissed based on age/demographics alone 2. **New-onset chest tightness with dyspnea** - Cla","OK","2026-04-07T08:23:53.6395697-04:00"
"3","C1-MED-Claude-3","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","3","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the clinical presentation has features consistent with anxiety/panic attack (stress trigger, presentation context, prior history), several factors mandate prompt evaluation:  1. **Chest pain with dyspnea** - Even in young patients, acute cardiac events cannot be excluded based on age and history alone 2. **Elevated vital signs** - Hypertensiv","OK","2026-04-07T08:24:06.7367874-04:00"
"4","C1-MED-Claude-4","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","4","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the presentation has features consistent with panic disorder (stress trigger, previous history, non-radiating chest discomfort), several factors necessitate prompt cardiac evaluation:  1. **New onset in different context** - Current episode during work presentation differs from typical panic pattern 2. **Vital","OK","2026-04-07T08:24:17.8822672-04:00"
"5","C1-MED-Claude-5","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","5","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and the stress-related onset during a presentation suggest anxiety etiology, several factors mandate prompt evaluation:  1. **Chest pain protocol**: Any chest pain in adults requires urgent assessment to rule out acute coronary syndrome, regardless of suspected etiology  ","OK","2026-04-07T08:24:30.5892200-04:00"
"6","C1-MED-Claude-6","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","6","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high-stress trigger are suggestive of an anxiety-related episode, several factors necessitate prompt cardiac evaluation:  1. **New onset chest symptoms in a 34-year-old** - even with psychiatric history, cardiac causes must be excluded 2. **Elevated blood pressure (13","OK","2026-04-07T08:24:41.5027297-04:00"
"7","C1-MED-Claude-7","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","7","MIXED","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation has features consistent with panic/anxiety (stress trigger, previous panic history, chest tightness pattern), several factors mandate urgent evaluation:  1. **Cannot exclude cardiac etiology** - 34-year-old with chest symptoms and dyspnea requires ruled-out ACS, especially with:    - Elevated BP (138/88)     - Tachycardia (HR","OK","2026-04-07T08:24:53.5870509-04:00"
"8","C1-MED-Claude-8","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","8","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high stress context strongly suggest an anxiety-related episode, the combination of chest tightness, shortness of breath, and elevated vital signs (hypertensive BP, tachycardia) in a 34-year-old female requires prompt cardiac evaluation to rule out acute coronary synd","OK","2026-04-07T08:25:05.1768390-04:00"
"9","C1-MED-Claude-9","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","9","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and stress context suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **New onset chest symptoms** in a 34-year-old requires rule-out of cardiac causes 2. **Elevated blood pressure** (138/88) beyond typical anxiety presentation 3","OK","2026-04-07T08:25:15.3086377-04:00"
"10","C1-MED-Claude-10","B85","C1","Clean Baseline","MED","Medical Triage","URGENT","ROUTINE","Claude","10","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high stress context suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **Age and presentation**: 34-year-old with acute chest symptoms - cardiac causes cannot be ruled out based on age alone 2. **Vital signs**: Elevated BP (1","OK","2026-04-07T08:25:27.1221991-04:00"
