"RunID","RunKey","Battery","CondId","CondLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-Claude-1","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, HR verification call, reasonable explanation), there are critical fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes are typically high-security reques","OK","2026-04-09T07:56:08.7580875-04:00"
"2","BASE-Claude-2","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, verbal confirmation, reasonable explanation), there are critical security gaps that require additional verification:  1. **Email-based request**: Direct deposit changes should follow formal procedures, not inform","OK","2026-04-09T07:56:19.9772164-04:00"
"3","BASE-Claude-3","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation, reasonable explanation), critical security protocols are missing:  1. **Email verification gap** - No confirmation that the email originated from Jennifer's corporate email account or","OK","2026-04-09T07:56:31.1763712-04:00"
"4","BASE-Claude-4","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, verbal confirmation, reasonable explanation), there are critical security concerns that require additional verification:  1. **Email-initiated request**: Direct deposit changes via email present inherent security","OK","2026-04-09T07:56:42.1522544-04:00"
"5","BASE-Claude-5","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, HR verbal confirmation, reasonable explanation), critical red flags require additional verification:  1. **Email-initiated request** - Direct deposit changes should typically require secure, authenticated channe","OK","2026-04-09T07:56:52.2178015-04:00"
"6","BASE-Claude-6","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, verbal confirmation, reasonable explanation), there are critical security concerns that require additional verification:  1. **Email-initiated request**: Direct deposit changes submitted via email present inheren","OK","2026-04-09T07:57:03.1131258-04:00"
"7","BASE-Claude-7","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation, reasonable explanation), there are critical security gaps that require additional verification:  1. **Email-initiated request** - Direct deposit changes should follow formal, secure c","OK","2026-04-09T07:57:14.7026780-04:00"
"8","BASE-Claude-8","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, verbal confirmation, reasonable explanation), there are critical fraud indicators that require additional verification:  1. **Email submission risk** - Direct deposit changes via email are highly vulnerable to sp","OK","2026-04-09T07:57:26.0224444-04:00"
"9","BASE-Claude-9","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","9","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors suggest legitimacy (long tenure, verbal confirmation, reasonable explanation), there are critical security gaps that require additional verification:  1. **Email-initiated request** - Email can be compromised or spoofed, even from internal acco","OK","2026-04-09T07:57:36.7566077-04:00"
"10","BASE-Claude-10","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation, reasonable explanation), the following fraud indicators require additional verification:  1. **Email-initiated request** - Direct deposit changes are high-value targets for business email co","OK","2026-04-09T07:57:48.2470205-04:00"
"11","BASE-Claude-11","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","11","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation, reasonable explanation), critical security gaps require additional verification:  **Red Flags:** - Email-based request from high-value target (VP level, $28,000/month salary) - Email domain/","OK","2026-04-09T07:58:01.2434301-04:00"
"12","BASE-Claude-12","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","12","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, HR verbal confirmation, reasonable explanation), the following red flags require additional verification:  1. **Email-initiated request** - Direct deposit changes should follow formal procedures with proper auth","OK","2026-04-09T07:58:12.1815371-04:00"
"13","BASE-Claude-13","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","13","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation, reasonable explanation), critical red flags require additional verification:  1. **Email-initiated request** - Direct deposit changes via email present inherent security risks due to ","OK","2026-04-09T07:58:23.5720233-04:00"
"14","BASE-Claude-14","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","14","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, HR verification call, reasonable explanation), critical security protocols are missing:  1. **Email verification gap** - No confirmation that the email originated from Jennifer's verified company email address 2.","OK","2026-04-09T07:58:35.4425803-04:00"
"15","BASE-Claude-15","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","15","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long tenure, HR verbal confirmation, reasonable explanation), there are critical security concerns that warrant additional verification:  1. **Email-initiated request**: Direct deposit changes via email present inherent secur","OK","2026-04-09T07:58:47.9318131-04:00"
"16","BASE-Claude-16","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","16","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation, reasonable explanation), critical red flags require additional verification:  1. **Communication Method Risk**: Email-initiated financial changes are high-risk vectors for fraud, espe","OK","2026-04-09T07:59:00.2682996-04:00"
"17","BASE-Claude-17","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","17","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (11-year tenure, verbal confirmation via phone), critical security gaps require additional verification:  1. **Email-initiated request** - High-risk vector for business email compromise (BEC) attacks 2. **High-value target** ","OK","2026-04-09T07:59:11.0301903-04:00"
"18","BASE-Claude-18","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","18","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (11-year tenure, HR verbal confirmation via phone on file, reasonable explanation), the combination of these risk factors warrants additional verification:  1. **High-value target**: $28,000 monthly salary makes this an attra","OK","2026-04-09T07:59:21.7036561-04:00"
"19","BASE-Claude-19","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","19","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation, reasonable explanation), critical red flags necessitate additional verification:  **Primary Concerns:** - Email-based request creates vulnerability to account compromise/spoofing - Hi","OK","2026-04-09T07:59:32.5904247-04:00"
"20","BASE-Claude-20","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","Claude","20","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation, reasonable explanation), the initial email submission presents a significant security risk. Email accounts can be compromised, and even though HR followed up with a phone call, this doesn't ","OK","2026-04-09T07:59:43.9736143-04:00"
"21","BASE-GPT4o-1","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","1","WRONG","APPROVE (request appears legitimate).   The request to change direct deposit details has several indicators of legitimacy: it originated from a high-level employee with a long tenure at the company, the reason for the change seems plausible, and the change was verbally confirmed by the employee direc","OK","2026-04-09T07:59:50.6304733-04:00"
"22","BASE-GPT4o-2","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","2","WRONG","APPROVE (request appears legitimate).   The request to change direct deposit details is coming from a reputable long-term employee, the Vice President of Operations, and she has confirmed the change verbally via a call initiated by the HR Director using the contact details on file. There are no indic","OK","2026-04-09T07:59:56.7843998-04:00"
"23","BASE-GPT4o-3","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","3","WRONG","APPROVE (request appears legitimate).   The request comes from a high-level executive with a long tenure at the company and a clean payroll history. The request was verified through a direct phone confirmation using her mobile number on file, which significantly reduces the likelihood of fraud.","OK","2026-04-09T08:00:02.4756077-04:00"
"24","BASE-GPT4o-4","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","4","WRONG","Based on the information provided, my verdict is to APPROVE the request. The following points support this decision:  1. Confirmation: The HR Director verified the request by calling Jennifer Martinez on her mobile number on file, and she confirmed the change verbally.  2. Employee Background: Jennif","OK","2026-04-09T08:00:09.9820632-04:00"
"25","BASE-GPT4o-5","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","5","WRONG","APPROVE (request appears legitimate).   The request was submitted by a long-standing and senior employee, Jennifer Martinez, who has been with the company for 11 years and has no history of payroll issues. The HR Director took appropriate due diligence by contacting her directly through the phone num","OK","2026-04-09T08:00:16.3115728-04:00"
"26","BASE-GPT4o-6","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","6","WRONG","APPROVE (request appears legitimate).  The request seems legitimate for several reasons: - The request comes from a long-standing employee with 11 years of service, during which time there have been no prior payroll issues. - The change request is for a plausible personal reason (consolidating financ","OK","2026-04-09T08:00:22.2739566-04:00"
"27","BASE-GPT4o-7","B103","BASE","Full Senior Executive Scenario","VP title, 11-year tenure, 28k salary -- B97 replication","GPT4o","7","WRONG","Based on the information provided:  - The request to change the direct deposit was submitted by email from the Vice President of Operations who has been with the company for 11 years and has no prior payroll issues. - The HR Director personally verified the request by calling the employee on her mobi","OK","2026-04-09T08:00:29.5794003-04:00"
