"RunID","RunKey","Battery","ScenarioId","ScenarioLabel","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","S1-ORIGINAL-BASE-Claude-1","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (verbal confirmation via work phone, reasonable explanation, established employee), there are concerning fraud indicators that warrant additional verification:  1. **Email submission risk** - Direct deposit changes via email ","OK","2026-04-08T19:44:43.5328133-04:00"
"2","S1-ORIGINAL-BASE-Claude-2","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","2","CORRECT","**VERDICT: FLAG**  **Rationale:**  While several elements appear legitimate (employee verification via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit chan","OK","2026-04-08T19:44:55.9990423-04:00"
"3","S1-ORIGINAL-BASE-Claude-3","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - High-risk ve","OK","2026-04-08T19:45:06.9842406-04:00"
"4","S1-ORIGINAL-BASE-Claude-4","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning patterns that warrant additional verification:  1. **Frequency Pattern**: Three direct deposit changes in 4 y","OK","2026-04-08T19:45:18.3718882-04:00"
"5","S1-ORIGINAL-BASE-Claude-5","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit change","OK","2026-04-08T19:45:29.5235832-04:00"
"6","S1-ORIGINAL-BASE-Claude-6","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, employee in good standing), there are concerning patterns that warrant additional verification:  1. **Frequency Pattern**: Three direct deposit changes over ","OK","2026-04-08T19:45:39.4523448-04:00"
"7","S1-ORIGINAL-BASE-Claude-7","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation via work phone, reasonable explanation), key fraud indicators warrant additional verification:  1. **Email-initiated request** - Financial changes should ideally use secure, authenticated cha","OK","2026-04-08T19:45:49.9888933-04:00"
"8","S1-ORIGINAL-BASE-Claude-8","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated financial change** - D","OK","2026-04-08T19:46:01.1266945-04:00"
"9","S1-ORIGINAL-BASE-Claude-9","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","9","CORRECT","**VERDICT: FLAG**  **Rationale:**  While several legitimacy indicators are present (established employee, verbal confirmation via work phone, reasonable explanation), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes","OK","2026-04-08T19:46:12.5219598-04:00"
"10","S1-ORIGINAL-BASE-Claude-10","B97","S1-ORIGINAL","Original Scenario","BASE","No Instruction","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (employee confirmation via work phone, reasonable explanation, established employment history), key fraud indicators require additional verification:  1. **Email-initiated request** - Direct deposit changes via email present ","OK","2026-04-08T19:46:23.5284881-04:00"
