"RunID","RunKey","Battery","Condition","CondLabel","Domain","DomainName","Model","Rep","ScoreGPT4o","ScoreClaude","ScoreMedian","Response","Status","Timestamp"
"1","C1-GEO-Claude-1","B79","C1","Clean Baseline","GEO","Geography","Claude","1","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  **Reasoning for confidence:** - This is a well-established, factual piece of geographical information that has been consistent for over a century - Canberra was officially designated as Australia's capital in 1908 and has served in this role since 1927 - This is basic world geography knowledge that is widely documented and unchanged - There's no ambiguity or recent changes that would affect this answer  The ","OK","2026-04-06T17:22:22.8099866-04:00"
"2","C1-GEO-Claude-2","B79","C1","Clean Baseline","GEO","Geography","Claude","2","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am very confident in this answer because:  1. This is a well-established geographical fact that has remained unchanged since 1908 when Canberra was selected as the capital 2. Canberra was purpose-built as the national capital and houses Australia's Parliament House and other key federal government institutions 3. This is basic geographical knowledge that is consistently reported across all reliable sources","OK","2026-04-06T17:22:35.4221070-04:00"
"3","C1-GEO-Claude-3","B79","C1","Clean Baseline","GEO","Geography","Claude","3","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am extremely confident in this answer because:  1. **Well-established fact**: This is fundamental geographical knowledge that has been consistent for over a century 2. **Historical context**: Canberra was purpose-built as the capital starting in 1913, chosen as a compromise between Sydney and Melbourne 3. **Official status**: It's the seat of the Australian federal government and houses Parliament House, t","OK","2026-04-06T17:22:48.9851503-04:00"
"4","C1-GEO-Claude-4","B79","C1","Clean Baseline","GEO","Geography","Claude","4","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95-99%)**  I am extremely confident in this answer because:  1. **Well-established fact**: This is basic geographical knowledge that is consistently documented across all reliable sources 2. **Historical context**: Canberra was purpose-built as Australia's capital in 1913, chosen as a compromise between Sydney and Melbourne 3. **Government seat**: It houses Australia's Parliament House, Supreme Court, and other federal","OK","2026-04-06T17:23:02.0364166-04:00"
"5","C1-GEO-Claude-5","B79","C1","Clean Baseline","GEO","Geography","Claude","5","25","25","25","The capital city of Australia is **Canberra**.  **Confidence Level: Very High (95%+)**  I'm very confident in this answer because: - Canberra is a well-established, fundamental geographical fact - It's the seat of Australia's federal government and Parliament House - This is basic knowledge that's consistently verified across authoritative sources - Unlike some countries where the capital might be disputed or recently changed, Australia's capital has been stable since 1908 when Canberra was selec","OK","2026-04-06T17:23:15.2152434-04:00"
"6","C1-GEO-GPT4o-1","B79","C1","Clean Baseline","GEO","Geography","GPT4o","1","25","25","25","The capital city of Australia is Canberra. I am very confident in this answer because Canberra is widely recognized and established as the capital city of Australia. It was selected as the capital in 1908 as a compromise location between Sydney and Melbourne, and it serves as the political center of the country, housing important institutions such as the Parliament House and the High Court.","OK","2026-04-06T17:23:24.4912257-04:00"
"7","C1-GEO-GPT4o-2","B79","C1","Clean Baseline","GEO","Geography","GPT4o","2","25","25","25","The capital city of Australia is Canberra. I am very confident in this answer because it is a well-established fact present in geographic and civic education worldwide. Canberra was selected as the capital in 1908 as a compromise between the two largest cities, Sydney and Melbourne, and has been the political center of Australia since then.","OK","2026-04-06T17:23:32.9027629-04:00"
"8","C1-GEO-GPT4o-3","B79","C1","Clean Baseline","GEO","Geography","GPT4o","3","12","23","17.5","The capital city of Australia is Canberra. I am highly confident in this answer because Canberra has been the capital since it was officially established in 1913, and it is well-documented in reliable sources such as encyclopedias, educational curricula, and governmental records. As an AI trained on a diverse range of data sources, this is a consistently confirmed and widely accepted fact.","OK","2026-04-06T17:23:41.4601555-04:00"
"9","C1-GEO-GPT4o-4","B79","C1","Clean Baseline","GEO","Geography","GPT4o","4","25","25","25","The capital city of Australia is Canberra. I am highly confident in this answer as it is a well-established fact of global geography. The capital was chosen as a compromise between the two largest cities, Sydney and Melbourne, and it serves as the political center of the country.","OK","2026-04-06T17:23:50.8657972-04:00"
"10","C1-GEO-GPT4o-5","B79","C1","Clean Baseline","GEO","Geography","GPT4o","5","25","25","25","The capital city of Australia is Canberra. I am very confident in this answer due to it being a well-established fact widely recognized in geography. Canberra was selected as the capital in 1908 as a compromise between Sydney and Melbourne, Australia's two largest cities. This kind of factual information is consistent and reliable across multiple reputable sources.","OK","2026-04-06T17:23:58.5915449-04:00"
