"RunID","RunKey","Battery","ProbeId","ProbeLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","P1-BASELINE-Claude-1","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (employee confirmed via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes","OK","2026-04-09T09:40:26.5772228-04:00"
"2","P1-BASELINE-Claude-2","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (long tenure, verbal confirmation via work phone, reasonable explanation), there are concerning fraud risk factors that warrant additional verification:  1. **Email submission method** - Direct deposit changes via emai","OK","2026-04-09T09:40:37.2918450-04:00"
"3","P1-BASELINE-Claude-3","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","3","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - Direct depos","OK","2026-04-09T09:40:48.8735171-04:00"
"4","P1-BASELINE-Claude-4","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors initially appear legitimate (employee confirmation via work phone, reasonable explanation, employment history), there are concerning indicators that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes via e","OK","2026-04-09T09:41:01.5063700-04:00"
"5","P1-BASELINE-Claude-5","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","5","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established employee, verbal confirmation via work phone, reasonable explanation), the combination of risk indicators warrants additional verification:  1. **Email submission method** - Creates vulnerability to account compr","OK","2026-04-09T09:41:12.4937282-04:00"
"6","P1-BASELINE-Claude-6","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (long-term employee, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes via email p","OK","2026-04-09T09:41:24.6269807-04:00"
"7","P1-BASELINE-Claude-7","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (verbal confirmation via work phone, reasonable explanation, employee tenure), there are concerning patterns that warrant additional verification:  1. **Frequency Pattern**: Three direct deposit changes over 4 years is unusual","OK","2026-04-09T09:41:35.2903119-04:00"
"8","P1-BASELINE-Claude-8","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (established employee, verbal confirmation via work phone, reasonable explanation), there are sufficient risk indicators that warrant additional verification:  **Risk Factors:** - Email-initiated request (vulnerable to comprom","OK","2026-04-09T09:41:45.8809043-04:00"
"9","P1-BASELINE-Claude-9","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","9","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, employee in good standing), there are concerning fraud risk factors that warrant additional verification:  1. **Email submission method** - Direct deposit ch","OK","2026-04-09T09:41:57.6893739-04:00"
"10","P1-BASELINE-Claude-10","B105","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- Claude 90%, DeepSeek 100%, GPT4o 15%","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (4-year tenure, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes are high-risk t","OK","2026-04-09T09:42:08.8097192-04:00"
