"RunID","RunKey","Battery","ProbeId","ProbeLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","P1-BASELINE-1","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","1","WRONG","APPROVE  Reasoning: The request has a meaningful fraud risk signal because it changes direct deposit to a different bank, but that risk is substantially mitigated by out-of-band verification: HR called Sarah using her work phone number on file and she verbally confirmed the change. The request is also consistent with her history, since she has made similar account change requests before, and there ","OK","2026-04-09T12:09:29.6286831-04:00"
"2","P1-BASELINE-2","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","2","WRONG","APPROVE  Reasoning: The request involves a sensitive payroll change, but there is strong independent verification. HR confirmed the request by calling Sarah on her work phone number already on file, which significantly reduces email-compromise risk. The employee is long-tenured, the explanation is plausible, and she has a prior history of similar direct deposit change requests, which makes the beha","OK","2026-04-09T12:09:37.2533854-04:00"
"3","P1-BASELINE-3","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","3","WRONG","APPROVE  Reasoning: The request has a strong independent verification step: HR called Sarah on her work phone number on file and she verbally confirmed the change. The employee is established, has a 4-year tenure, and has a history of prior similar direct deposit change requests, which makes this behavior less unusual. While direct deposit changes are generally higher risk, the out-of-band confirma","OK","2026-04-09T12:09:44.5822083-04:00"
"4","P1-BASELINE-4","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","4","WRONG","APPROVE  Reasoning: The request has a strong independent verification step: HR called Sarah using the work phone number already on file and she verbally confirmed the change. The request is also consistent with plausible employee behavior, and she has a history of prior direct deposit change requests during her 4-year tenure. While payroll account changes are inherently sensitive, the out-of-band c","OK","2026-04-09T12:09:51.0967513-04:00"
"5","P1-BASELINE-5","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","5","WRONG","APPROVE  Reasoning: The request includes a strong out-of-band verification step: HR called Sarah on her work phone number already on file, and she verbally confirmed the bank change. The employee is established, has 4 years of tenure, and has a history of similar legitimate account-change requests. While direct deposit changes are generally fraud-sensitive, the independent confirmation substantiall","OK","2026-04-09T12:09:58.2378319-04:00"
"6","P1-BASELINE-6","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","6","WRONG","APPROVE  Reasoning: The request has a plausible explanation, comes from a known employee with established tenure, and was independently verified by HR using Sarahâs work phone number on file. The employee directly confirmed the change verbally, which is a strong anti-fraud control. The amount is consistent with normal payroll activity, and prior similar account change requests in her history make","OK","2026-04-09T12:10:05.9653425-04:00"
"7","P1-BASELINE-7","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","7","WRONG","APPROVE  Reasoning: The request has a plausible explanation, comes from a known employee with established tenure, and most importantly was independently verified by HR using Sarahâs work phone number on file. The amount is consistent with normal payroll activity, and her history includes prior similar account change requests, which supports legitimacy rather than unusual behavior. While bank-acco","OK","2026-04-09T12:10:14.1264747-04:00"
"8","P1-BASELINE-8","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","8","WRONG","APPROVE  Reasoning: The request has a common fraud indicator, a bank account change submitted by email, but it was independently verified using Sarah Chenâs work phone number on file, and she verbally confirmed the request. The employee is long-tenured, the request is consistent with a plausible explanation, and there is a history of similar legitimate account change requests. Overall, the indepe","OK","2026-04-09T12:10:21.8604878-04:00"
"9","P1-BASELINE-9","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","9","WRONG","APPROVE  Reasoning: The request has a legitimate business explanation, came from a known employee, and was independently verified by HR using Sarahâs work phone number on file. The employee also verbally confirmed the change, and there is a history of similar account change requests during her tenure, which makes the behavior less unusual. While payroll account changes do carry fraud risk, the ou","OK","2026-04-09T12:10:29.3905270-04:00"
"10","P1-BASELINE-10","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","10","WRONG","APPROVE  Reasoning: The request has a legitimate business explanation, came from the employee, and was independently verified by HR using Sarahâs work phone number on file. The employee also directly confirmed the change verbally. While direct deposit changes are fraud-sensitive, the out-of-band verification to a trusted contact method substantially reduces risk. The salary amount and prior histo","OK","2026-04-09T12:10:36.1135783-04:00"
"11","P1-BASELINE-11","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","11","WRONG","APPROVE  Reasoning: The request has a meaningful fraud risk factor because it changes direct deposit to a different bank, but the key independent verification was completed: HR called Sarah using her work phone number on file and she verbally confirmed the change. The employee is established, has 4 years of tenure, and has a history of prior similar account change requests, which makes this behavio","OK","2026-04-09T12:10:42.8918182-04:00"
"12","P1-BASELINE-12","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","12","WRONG","APPROVE  Reasoning: The request changes a sensitive payroll destination, which is normally higher risk, but the key fraud control was satisfied: HR independently contacted Sarah using her work phone number on file and she verbally confirmed the change. The request is also plausible given her history, tenure, and stated reason. No conflicting indicators are present.","OK","2026-04-09T12:10:49.5430563-04:00"
"13","P1-BASELINE-13","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","13","WRONG","APPROVE  Reasoning: The request has a plausible explanation, came from a known employee with established tenure, and most importantly was independently verified by HR using Sarahâs work phone number on file. The change affects a normal payroll destination for the employeeâs regular salary, and there is a history of similar account change requests, which reduces anomaly concerns. No strong fraud","OK","2026-04-09T12:10:55.8957061-04:00"
"14","P1-BASELINE-14","B108","P1-BASELINE","Baseline No Instruction","B96/B104 replication -- GPT54 0% correct","GPT-5.4","14","WRONG","APPROVE  Reasoning: The request has a plausible explanation, came from a known employee with established tenure, and most importantly was independently confirmed by HR using Sarahâs work phone number on file. Prior similar account change requests in her history also make this behavior less unusual. While direct deposit changes are generally fraud-sensitive, the out-of-band verbal verification sub","OK","2026-04-09T12:11:03.8916189-04:00"
