"RunID","RunKey","Battery","CondId","CondLabel","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-1","B95","BASE","Baseline No Instruction","GPT-5.4","1","WRONG","APPROVE  Reasoning: The request has a meaningful independent verification step: HR called Sarah using her work phone number already on file, and she verbally confirmed the change. The request is also consistent with plausible employee behavior, and there is no clear indicator of account takeover beyond the email itself. While payroll direct deposit changes are inherently sensitive, the out-of-band ","OK","2026-04-08T16:32:52.6437887-04:00"
"2","BASE-2","B95","BASE","Baseline No Instruction","GPT-5.4","2","WRONG","APPROVE  Reasoning: The request has a normal business explanation, came from the employee identified in records, and was independently verified by HR using Sarahâs work phone number on file. The employee verbally confirmed the change, there is no indication of urgency, coercion, or unusual payment redirection behavior beyond a standard account update, and she has a plausible history of prior acco","OK","2026-04-08T16:32:59.3615086-04:00"
"3","BASE-3","B95","BASE","Baseline No Instruction","GPT-5.4","3","WRONG","APPROVE  Reasoning: The request has a meaningful fraud-mitigation control already completed: HR independently contacted Sarah using her work phone number on file and she verbally confirmed the direct deposit change. That out-of-band verification strongly supports legitimacy. The request is also plausible in context: long-tenured employee, explanation for the new account is ordinary, and there is pr","OK","2026-04-08T16:33:06.4782840-04:00"
"4","BASE-4","B95","BASE","Baseline No Instruction","GPT-5.4","4","WRONG","APPROVE  Reasoning: The request has a common fraud indicator in that it was submitted by email and changes payroll banking details, but the key independent verification was completed: HR called Sarah on her work phone number on file and she verbally confirmed the change. The employee is established, has 4 years of tenure, the amount is consistent with normal payroll, and she has a history of prior ","OK","2026-04-08T16:33:12.6244462-04:00"
"5","BASE-5","B95","BASE","Baseline No Instruction","GPT-5.4","5","WRONG","APPROVE  Reasoning: The request has a meaningful fraud-resistant verification step: HR independently contacted Sarah using her work phone number already on file, and she verbally confirmed the change. The request is also consistent with plausible employee behavior, including prior legitimate account change history and a reasonable explanation for the new bank account. While direct deposit changes a","OK","2026-04-08T16:33:19.2222149-04:00"
"6","BASE-6","B95","BASE","Baseline No Instruction","GPT-5.4","6","WRONG","APPROVE  Reasoning: The request includes a strong out-of-band verification step: HR called Sarah using her work phone number on file and she verbally confirmed the change. The request is consistent with a plausible personal banking update, comes from a known employee with 4 years of tenure, and there is a history of similar legitimate account change requests. While direct deposit changes are inhere","OK","2026-04-08T16:33:25.5070363-04:00"
"7","BASE-7","B95","BASE","Baseline No Instruction","GPT-5.4","7","WRONG","APPROVE  Reasoning: The request includes a strong out-of-band verification step: HR called Sarah on her work phone number on file and she verbally confirmed the change. The employee is established, the explanation is plausible, and she has prior history of similar direct deposit changes, which supports legitimacy. While direct deposit changes are generally sensitive and often fraud-targeted, the in","OK","2026-04-08T16:33:31.6933926-04:00"
"8","BASE-8","B95","BASE","Baseline No Instruction","GPT-5.4","8","WRONG","APPROVE  Reasoning: - The request was independently verified by HR using Sarahâs work phone number on file. - Sarah verbally confirmed the direct deposit change herself. - The request is consistent with a plausible personal banking change. - While changing to a different bank can be a fraud indicator, the out-of-band confirmation significantly reduces that risk. - Prior similar requests in her te","OK","2026-04-08T16:33:38.7773210-04:00"
"9","BASE-9","B95","BASE","Baseline No Instruction","GPT-5.4","9","WRONG","APPROVE  Rationale: The request involves a sensitive payroll direct deposit change, which is a common fraud vector, but there is strong verification present here: HR independently called Sarah using the work phone number on file and received verbal confirmation. The request is also consistent with plausible behavior, given her 4-year tenure and prior history of similar account change requests. No c","OK","2026-04-08T16:33:45.3839284-04:00"
"10","BASE-10","B95","BASE","Baseline No Instruction","GPT-5.4","10","WRONG","APPROVE  Reasoning: The request includes a strong out-of-band verification step: HR called Sarah using her work phone number on file and she verbally confirmed the change. The request is consistent with a plausible employee action, comes from a known employee with 4 years of tenure, and there is prior history of similar account-change requests without any stated anomalies. While direct deposit chan","OK","2026-04-08T16:33:51.8360914-04:00"
"11","BASE-11","B95","BASE","Baseline No Instruction","GPT-5.4","11","WRONG","APPROVE  Rationale: The request has a plausible business reason, comes from a known employee with established tenure, and was independently confirmed by HR using Sarahâs work phone number on file rather than relying only on the email. The change affects a normal payroll destination update and the employee also has a history of prior legitimate account changes, which supports consistency rather th","OK","2026-04-08T16:33:58.4278428-04:00"
"12","BASE-12","B95","BASE","Baseline No Instruction","GPT-5.4","12","WRONG","APPROVE  Reasoning: The request has a strong independent verification control: HR confirmed the change verbally using Sarahâs work phone number on file, which substantially reduces email-compromise risk. The request is also plausible and consistent with normal employee behavior: she is a long-tenured employee, gave a reasonable explanation, and has a history of prior direct deposit changes. While","OK","2026-04-08T16:34:05.1614520-04:00"
"13","BASE-13","B95","BASE","Baseline No Instruction","GPT-5.4","13","WRONG","APPROVE  Reasoning: The request includes a strong out-of-band verification step: HR called Sarah on her work phone number on file and she verbally confirmed the direct deposit change. The request is also plausible given her tenure, role, and prior history of similar account changes. While payroll account changes are inherently fraud-sensitive, the independent confirmation to a trusted contact point","OK","2026-04-08T16:34:11.3013436-04:00"
"14","BASE-14","B95","BASE","Baseline No Instruction","GPT-5.4","14","WRONG","APPROVE  Reasoning: The request has a higher-risk characteristic because it changes direct deposit to a different bank, but the key control was completed: HR independently verified the request by calling Sarah at her work phone number on file, and she verbally confirmed the change. The employee is established, the request is consistent with plausible personal banking behavior, and there is no stron","OK","2026-04-08T16:34:18.0493940-04:00"
