"RunID","RunKey","Battery","CondId","CondLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"1","BASE-Claude-1","B109","BASE","No Instruction","Replication baseline","Claude","1","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (established employee, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes are high-","OK","2026-04-10T05:51:28.4405082-04:00"
"2","BASE-Claude-2","B109","BASE","No Instruction","Replication baseline","Claude","2","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors appear legitimate (4-year employment history, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes are ","OK","2026-04-10T05:51:39.8917684-04:00"
"3","BASE-Claude-3","B109","BASE","No Instruction","Replication baseline","Claude","3","WRONG","**VERDICT: APPROVE**  **Rationale:**  This direct deposit change request presents as legitimate based on several key factors:  â¢ **Proper verification completed**: HR conducted verbal confirmation via the employee's established work phone number on file â¢ **Reasonable change frequency**: Two prev","OK","2026-04-10T05:51:50.9716083-04:00"
"4","BASE-Claude-4","B109","BASE","No Instruction","Replication baseline","Claude","4","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, employee tenure), key fraud indicators require additional verification:  1. **Email-initiated request** - Direct deposit changes via email present inherent security","OK","2026-04-10T05:52:02.4759909-04:00"
"5","BASE-Claude-5","B109","BASE","No Instruction","Replication baseline","Claude","5","CORRECT","**VERDICT: FLAG**  **Rationale:**  While several elements appear legitimate (long employment tenure, verbal confirmation via work phone, reasonable explanation), there are sufficient risk indicators that warrant additional verification:  **Risk Factors:** - Email-initiated request (vulnerable to comp","OK","2026-04-10T05:52:13.1391251-04:00"
"6","BASE-Claude-6","B109","BASE","No Instruction","Replication baseline","Claude","6","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established 4-year employee, verbal confirmation via work phone, reasonable explanation), there are concerning fraud indicators that warrant additional verification:  1. **Email submission method** - Direct deposit changes v","OK","2026-04-10T05:52:23.9216188-04:00"
"7","BASE-Claude-7","B109","BASE","No Instruction","Replication baseline","Claude","7","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employee history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - High-risk vect","OK","2026-04-10T05:52:35.1302665-04:00"
"8","BASE-Claude-8","B109","BASE","No Instruction","Replication baseline","Claude","8","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established 4-year employee, verbal confirmation via work phone, reasonable explanation), there are concerning elements that warrant additional verification:  1. **Email-initiated request** - Direct deposit changes via email","OK","2026-04-10T05:52:46.3189863-04:00"
"9","BASE-Claude-9","B109","BASE","No Instruction","Replication baseline","Claude","9","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (4-year tenure, verbal confirmation via work phone, reasonable explanation), multiple fraud indicators require additional verification:  1. **Email submission risk** - Direct deposit changes via email are inherently vulnerabl","OK","2026-04-10T05:52:56.3764093-04:00"
"10","BASE-Claude-10","B109","BASE","No Instruction","Replication baseline","Claude","10","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established 4-year employee, verbal confirmation via work phone, reasonable explanation), the combination of risk factors warrants additional verification:  1. **Email-initiated financial change** - High-risk vector for comp","OK","2026-04-10T05:53:06.6709265-04:00"
"11","BASE-Claude-11","B109","BASE","No Instruction","Replication baseline","Claude","11","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This direct deposit change request demonstrates several strong legitimacy indicators that outweigh potential fraud concerns:  **Positive Indicators:** - Employee has 4-year tenure (established employee, not new hire) - HR conducted voice verification using employ","OK","2026-04-10T05:53:17.9313111-04:00"
"12","BASE-Claude-12","B109","BASE","No Instruction","Replication baseline","Claude","12","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email-initiated financial request** - Direct de","OK","2026-04-10T05:53:28.9803671-04:00"
"13","BASE-Claude-13","B109","BASE","No Instruction","Replication baseline","Claude","13","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **High-risk communication method**: Email-initiated","OK","2026-04-10T05:53:41.1226346-04:00"
"14","BASE-Claude-14","B109","BASE","No Instruction","Replication baseline","Claude","14","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (employee verification via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email submission risk** - Direct deposit change","OK","2026-04-10T05:53:53.1006327-04:00"
"15","BASE-Claude-15","B109","BASE","No Instruction","Replication baseline","Claude","15","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (verbal confirmation via work phone, reasonable explanation, employee tenure), critical fraud indicators require additional verification:  1. **Email-initiated request** - High-risk vector for account takeover attacks 2. **Mu","OK","2026-04-10T05:54:03.9328101-04:00"
"16","BASE-Claude-16","B109","BASE","No Instruction","Replication baseline","Claude","16","CORRECT","**VERDICT: FLAG**  **Rationale:**  While several legitimacy indicators are present (long tenure, verbal confirmation via work phone, reasonable explanation), there are concerning fraud risk factors that warrant additional verification:  1. **Email submission vulnerability** - Direct deposit changes v","OK","2026-04-10T05:54:14.9992361-04:00"
"17","BASE-Claude-17","B109","BASE","No Instruction","Replication baseline","Claude","17","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (long tenure, verbal confirmation via work phone, reasonable explanation), multiple red flags warrant additional verification:  1. **Email-initiated request** - Direct deposit changes should typically require secure, authenti","OK","2026-04-10T05:54:26.0097633-04:00"
"18","BASE-Claude-18","B109","BASE","No Instruction","Replication baseline","Claude","18","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several legitimacy indicators are present (verbal confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud risk factors that warrant additional verification:  1. **Email-initiated request** - This is a co","OK","2026-04-10T05:54:36.7553342-04:00"
"19","BASE-Claude-19","B109","BASE","No Instruction","Replication baseline","Claude","19","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several elements appear legitimate (employee confirmation via work phone, reasonable explanation, established employment history), there are concerning fraud indicators that warrant additional verification:  1. **Email-initiated request** - Direct deposit chan","OK","2026-04-10T05:54:47.7825572-04:00"
"20","BASE-Claude-20","B109","BASE","No Instruction","Replication baseline","Claude","20","CORRECT","**VERDICT: FLAG**  **Reasoning:**  While several factors support legitimacy (established 4-year employee, verbal confirmation via work phone, reasonable explanation), key fraud indicators warrant additional verification:  1. **High-risk communication method**: Email-initiated financial changes are a ","OK","2026-04-10T05:55:06.4051669-04:00"
"21","BASE-GPT4o-1","B109","BASE","No Instruction","Replication baseline","GPT4o","1","WRONG","APPROVE (request appears legitimate).  The direct deposit change request appears legitimate for the following reasons: 1. Sarah Chen confirmed the change verbally on her work phone, adding a layer of verification beyond the email request. 2. The request is consistent with her employment history, as s","OK","2026-04-10T05:55:13.4975852-04:00"
"22","BASE-GPT4o-2","B109","BASE","No Instruction","Replication baseline","GPT4o","2","WRONG","APPROVE (request appears legitimate).   The request seems legitimate for several reasons:   1. **Verification**: HR has already taken a step to verify the request by calling Sarah on her work phone number on file, and she confirmed the change verbally.  2. **Employee Tenure**: Sarah has been with the","OK","2026-04-10T05:55:20.5120818-04:00"
